# RA DEC XI ETA F475W F814W V VERR
10.985 41.213 0.226 -0.056 21.796 20.986 -201.263 3.707 
10.986 41.628 0.226 0.359 21.759 21.886 -87.197 4.215 
11.113 41.592 0.321 0.324 22.789 21.157 -118.089 3.059 
11.274 41.555 0.442 0.288 22.656 21.144 -211.821 3.256 
11.328 41.88 0.482 0.613 21.732 20.134 -69.622 1.63 
11.284 41.875 0.449 0.607 24.516 22.776 -88.544 6.211 
11.412 41.875 0.544 0.608 22.711 22.356 -19.897 6.377 
11.426 41.904 0.555 0.637 22.873 22.619 -57.592 5.368 
11.173 41.875 0.365 0.607 21.506 21.495 -156.971 2.185 
11.126 41.888 0.33 0.619 22.613 21.078 -131.307 2.463 
11.132 41.911 0.335 0.643 22.836 22.412 -22.851 8.026 
11.206 41.861 0.391 0.593 20.702 19.871 -62.029 0.9 
11.438 41.808 0.564 0.541 22.211 21.968 -117.261 8.913 
11.414 41.855 0.546 0.588 22.605 21.622 -115.01 6.557 
11.14 41.867 0.341 0.599 23.056 21.496 -129.724 1.914 
11.123 41.838 0.328 0.569 22.404 22.34 -125.875 4.101 
11.785 42.278 0.821 1.014 22.517 20.908 -48.401 2.257 
11.163 41.493 0.359 0.225 20.947 21.08 -282.988 6.81 
11.108 41.59 0.318 0.321 24.124 22.586 -256.2 6.741 
11.09 41.592 0.304 0.324 20.366 20.429 -150.219 5.737 
11.11 41.595 0.319 0.326 20.72 20.641 -216.098 3.935 
11.076 41.562 0.293 0.293 20.869 20.988 -124.019 2.236 
11.109 41.634 0.318 0.365 20.811 20.477 -72.986 5.919 
11.117 41.55 0.325 0.281 20.695 20.744 -121.404 7.031 
11.08 41.574 0.297 0.306 18.997 18.861 -39.866 4.79 
11.104 41.616 0.314 0.348 19.454 19.341 -60.253 3.29 
11.029 41.674 0.258 0.405 19.738 19.841 -113.895 4.551 
11.121 41.607 0.327 0.338 20.35 20.365 -59.984 1.968 
11.095 41.622 0.307 0.353 21.387 20.626 -69.777 3.394 
11.093 41.65 0.306 0.381 21.527 20.54 -63.567 4.449 
11.107 41.611 0.317 0.342 20.674 20.74 -68.188 2.296 
11.102 41.617 0.313 0.348 19.077 18.611 -31.269 2.022 
11.032 41.667 0.261 0.398 18.879 18.279 -118.132 1.742 
11.069 41.619 0.288 0.35 19.138 18.539 -137.135 1.515 
11.09 41.636 0.304 0.367 21.65 20.986 -60.571 4.077 
11.075 41.666 0.293 0.397 21.093 20.388 -68.48 2.349 
11.081 41.576 0.297 0.307 19.534 19.205 -82.091 1.953 
11.124 41.575 0.33 0.307 20.719 20.151 -33.636 2.391 
11.114 41.616 0.322 0.348 21.538 20.913 -29.273 -299800.0 
11.044 41.655 0.269 0.386 21.018 19.956 -231.604 6.276 
11.112 41.571 0.32 0.302 19.443 18.689 -45.953 1.04 
11.178 41.538 0.371 0.269 21.614 20.159 -336.238 -299800.0 
11.105 41.616 0.315 0.347 19.603 18.966 -41.025 1.045 
11.088 41.615 0.302 0.346 20.476 19.317 -58.274 0.669 
11.006 41.652 0.241 0.383 21.949 20.802 -105.224 3.853 
11.097 41.592 0.309 0.324 21.748 20.805 -59.476 4.754 
11.129 41.584 0.333 0.316 20.778 19.46 -63.671 0.903 
11.103 41.579 0.314 0.311 21.461 19.853 -73.561 0.912 
11.139 41.577 0.341 0.309 20.899 19.522 -123.569 1.279 
11.1 41.607 0.312 0.338 21.154 19.458 -75.106 0.913 
11.768 42.286 0.809 1.022 23.651 21.954 -124.563 8.558 
11.636 42.231 0.71 0.966 21.58 21.65 -106.101 9.434 
11.674 42.181 0.739 0.916 18.983 18.877 -39.206 1.247 
11.584 42.201 0.672 0.936 20.797 20.959 -54.498 4.571 
11.586 42.214 0.673 0.948 21.288 20.886 -112.986 4.068 
11.557 42.23 0.651 0.964 20.895 20.584 -16.546 8.06 
11.488 41.808 0.601 0.542 20.199 19.766 -123.365 3.283 
11.313 42.016 0.47 0.748 19.009 18.067 -68.756 0.367 
11.185 41.857 0.375 0.589 20.873 20.748 -124.951 3.084 
11.173 41.89 0.366 0.622 20.612 20.344 -50.963 2.574 
11.267 41.892 0.436 0.624 20.342 20.202 -128.565 3.628 
11.238 41.925 0.414 0.657 19.745 19.186 -104.49 1.421 
11.195 41.415 0.383 0.147 22.565 21.041 -200.044 2.413 
11.206 41.43 0.391 0.162 22.48 20.991 -200.698 5.029 
11.198 41.456 0.385 0.188 22.311 20.959 -203.505 2.598 
11.211 41.484 0.395 0.216 20.835 20.668 -169.222 3.165 
11.274 41.555 0.442 0.288 22.656 21.144 -205.796 2.957 
11.115 41.645 0.322 0.377 21.748 21.031 -101.069 3.377 
11.005 41.65 0.24 0.381 20.925 20.52 -96.391 9.813 
11.122 41.63 0.328 0.361 21.961 20.709 -34.97 4.246 
11.326 41.608 0.481 0.34 21.422 20.78 -174.446 2.929 
11.072 41.657 0.29 0.389 21.886 21.675 -61.908 4.834 
11.375 41.639 0.518 0.372 22.801 21.067 -177.314 2.139 
11.178 41.768 0.369 0.5 22.701 21.818 -37.419 6.362 
11.362 41.705 0.508 0.437 22.869 21.172 -120.797 2.94 
11.395 41.711 0.532 0.444 22.113 20.489 -49.86 2.055 
11.374 41.834 0.516 0.567 23.246 21.506 -81.757 4.218 
11.412 41.875 0.544 0.608 22.711 22.356 -67.994 5.943 
11.284 41.885 0.449 0.618 21.907 21.63 -31.388 5.677 
11.304 41.896 0.464 0.629 21.513 21.503 -98.193 5.016 
11.279 41.957 0.445 0.689 22.673 21.484 -89.489 5.5 
11.237 41.975 0.413 0.707 22.603 22.423 -55.959 6.83 
11.25 41.986 0.423 0.718 21.472 21.423 -138.331 2.214 
11.426 41.904 0.555 0.637 22.873 22.619 -52.14 3.801 
11.379 41.941 0.52 0.674 22.409 21.032 -50.292 4.599 
11.361 41.942 0.506 0.675 22.736 21.049 -153.638 4.157 
11.389 41.962 0.527 0.695 20.73 20.647 3.18 6.758 
11.37 41.986 0.513 0.719 21.598 21.325 -98.66 7.349 
11.493 41.921 0.605 0.655 23.028 21.348 -82.082 4.179 
11.502 41.929 0.612 0.662 21.957 20.542 -51.109 2.396 
11.469 41.973 0.587 0.707 22.457 22.068 -155.024 9.173 
